gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val
15.684173,58.45209641,23.48577819,3.486629926,2.1924276,0.062332526,3797,0.57693756
7.4981666,55.93009553,25.08050151,8.027063451,0.18891335,,8337.333,
16.102013,57.17084229,23.23797911,8.509836138,3.116683,,3838.1667,
12.923352,56.99900482,24.73109286,6.493298083,1.5911531,0.15626729,4456.165,0.66322994
16.45421,55.8657594,24.27060422,2.675074734,2.3462887,0.050943777,3830.01,0.51262337
17.576437,56.24788638,23.35488692,7.922717011,3.2170334,,,
18.08716,56.93360285,24.06548422,3.298008665,2.0310574,,,
12.179868,55.67669286,23.50264426,8.294176012,1.3694553,0.16585155,4861.035,0.574189
17.113106,54.98906733,23.32825844,8.29487984,3.1361294,,,
16.721306,55.3328351,25.11350474,8.240225719,2.951972,,4581.62,
14.584626,55.7865409,23.25183763,4.447532033,1.8732138,0.085902296,4112.1074,0.5774656
3.6412394,56.21900086,24.11313909,8.704054073,-0.088436365,,9329.667,
4.236967,56.30215999,24.46706985,8.96905582,-0.11660576,,9164,
18.33805,55.79908528,25.52540862,8.325765049,3.4552116,,,
15.031692,57.50659156,25.40029936,8.547721421,2.5932522,,3466.25,
4.090774,56.58166916,23.94815019,9.478144378,-0.02794981,,9145.333,
9.9920635,56.54194201,23.33979808,8.131807477,0.80635834,1.1342697,5775,1.0639148
9.312448,56.42257403,24.28839748,7.762786109,0.7296572,2.3001885,6020.8667,1.3938509
8.538714,56.55296896,23.12832466,12.6746841,0.75563335,1.7630941,5969.3335,1.2414771
10.568231,56.0177907,24.98962351,7.675576054,0.87180996,0.76424956,5518,0.9565482
8.005559,56.35902448,24.03495124,7.384428664,0.31556606,8.66476,7696,1.6557729
15.346717,55.86244198,24.45258437,6.182353941,2.757516,,4021.8826,
8.112242,56.1072562,24.39450367,7.952291144,0.38979816,6.634721,7291.85,1.6139442
16.676153,56.51536129,25.8745249,7.984248962,3.0668116,,3642.9402,
16.824377,56.11465573,24.23791792,8.11898485,2.9782143,,4387.69,
13.302774,56.11385208,24.84376374,7.584187079,2.0216541,0.12242076,3744.6934,0.8312806
13.31963,57.03204486,25.3150932,7.607815273,1.7250109,0.08632085,4267,0.5376074
18.993423,56.70237978,23.16586532,7.407238057,3.5701103,,,
16.287066,57.48657863,25.37280627,8.654446967,2.7120495,,3847.32,
12.900635,56.11678954,24.17134985,8.99296613,1.6759357,0.091391325,4256,0.5560347
17.203575,55.46806666,24.69916623,8.032535154,3.1700697,,,
17.134892,57.91290233,23.36773674,8.236081364,3.1198816,,,
18.792948,56.09692029,25.64566229,8.346712385,3.956293,,,
11.8450365,56.05315825,24.03159793,7.037055815,1.2904806,0.30697253,4948.6133,0.753764
14.103501,55.5787435,23.9893286,4.60827531,1.7378521,0.11685198,4224.947,0.63801104
15.142637,55.79070302,24.6923206,7.585667115,2.6377316,,3906.6497,
14.174072,56.47415454,24.4689132,10.73593337,2.4659548,0.035288427,3408,0.53885216
8.635171,56.64521253,25.84366469,6.410912707,0.4993515,6.2493443,6906.455,1.7460613
13.58171,57.39555213,23.45446495,6.660031089,1.8976984,0.10906695,3919,0.71638864
5.1857038,57.29682771,24.13650491,7.722945189,-0.043393612,,9438,
15.746865,55.01510181,24.50064009,8.035242142,2.709834,,3560,
18.189053,56.45598924,23.95147463,7.57157606,2.2930508,,,
19.731743,56.4220349,23.90257887,7.444402282,1.6384544,,,
13.545067,58.09386207,23.64466978,7.877838579,1.8461952,0.0787066,3954.71,0.59762526
18.58027,57.1466877,22.89491452,6.93866411,2.8851128,,,
14.508764,57.10859118,25.2444972,7.507984619,2.2244005,,3792.8625,
17.232534,57.21119076,23.07486855,7.744793077,3.223445,,,
15.011136,57.82951996,24.17013183,7.669624457,2.489458,,3476.25,
9.967809,57.49118051,23.84795415,7.262145481,,,,
13.971644,56.87006566,22.37642991,6.934395535,2.090582,0.0812063,3706.6667,0.69100374
16.065794,57.42804185,24.31857501,7.388972892,3.0133867,,4287.5835,
16.24579,58.44830554,23.74174841,7.907512122,2.95463,,4095.52,
17.456938,56.13412079,25.13660095,7.575432003,3.0992317,,,
17.594662,57.49313763,25.10567715,7.428027499,3.2687092,,,
15.366779,56.03026858,22.92844874,0.926216091,1.0934544,0.67071784,5093.607,1.0516512
17.586649,55.87463443,24.65640329,7.590752934,3.156273,,,
18.277685,56.11334408,24.84496114,7.385471109,3.0548725,,,
12.989554,56.2091705,24.9109169,7.445933006,1.564805,0.11357483,4419.6465,0.57480246
17.226929,56.31516478,25.28971345,7.011595215,1.4050503,,,
16.958197,56.90697029,24.40625856,7.270159766,3.1563816,,4063.6497,
17.56516,56.792589,24.72635666,3.567149511,2.7182178,,,
13.431323,56.52195259,22.98142588,7.558974835,1.774396,0.0860909,4110.893,0.5784408
15.820007,56.0686536,23.61763736,7.436534038,2.9358244,,4020.07,
13.964578,57.09488452,23.97235136,8.340781349,2.2302809,0.064261176,3530.3333,0.6776346
17.065607,58.14723678,25.01779529,7.472815327,3.3878908,,4271.2534,
